Reviews,Stars
"Walk the halls of the hospital and you will see empty tables, full waiting rooms and long lines for the pharmacy.    If you need an appointment, you will spend 6 hours on hold, waiting to speak to someone (my line call number was  63). 

They call screener you do talk with may or may not get you an appointment but rest assured, it won't be for 90 days.  If a nurse calls you, they will tell you how much they regret how frustrating your experience has been and then won't call you back to get that specialist scheduled (4 months now). 

If you do get an appointment, it may get canceled a day prior and IF they call to inform you of that, will have to wait another 90 days to see a doctor.  

When I've had to go into the VA, I've never seen a specialist or an employee that didn't wreak of one of many smoke breaks.  These are medical professionals/doctors supposed to support (not baby), the men and women who have ""born the brunt of war"".  Sure.   

The relationship the Portland VA has with OHSU is to bring over college students to practice on the Veteran.  Ask for an actual Doctor.   You may not know until they stab through your bursa sack or remove the wrong tooth. 

They block treating Veterans by being disrespectful and mean and the people that take complaints are just as unhelpful.  Additionally, there seems to be a heavy bias toward a belief system that's irrelevant but obviously important to the open public spaces/behind desks of VA employees.  

The VA in Portland and it's extensions, seem to be full of entitled government leeches who dislike the vet or their job, perhaps both.  

I'm sure good people work here and I've met a few but they seem to be in the minority.",negative
"There are many talented, intelligent hard working people at the VA.

After a probationary year, employees can't be fired and it shows.

There is a great case of disorganization and ""slacking"".
It's like a big tanker being run by sloths.  Things are SLOW. People put in minimal effort at times.

Veterans and even hard working employees are frustrated by VA culture.  It's too bad. Veterans deserve top care and don't always get it at the VA.

The VA is where people go ""out to pasture.""  The VA is where professional dreams go to die.",negative
"Too bad I cannot give zero, or minus stars.  I am startled at what is either incompetence or lack of caring/empathy...or both.  I have met two (2) medical professionals at this VA who seem to have their heads on straight...the others I have encountered make me wonder if the Marques de Sade opened schools of medicine and from where these uncaring people graduated.
When I was 18 the nation called for its young men to join, or be drafted...we went and now we are ignored.  I have used one other VA facility and it was fantastic, but this place is, in my opinion, becoming a dangerous place!",negative
"The bedside manner of a number of nurses employed for the VA Hospital are less than desirable at this establishment. My dad has been staying here the last few days and his current room shares a bathroom. I needed to utilize the facility in order to urinate and I was walked in on by the nurse. In a really irritated tone she LOUDLY (enough for my elderly/hard of hearing father to clearly hear) chastised me on the policy regarding visitors only using the public restrooms/patients only in the room(s). I was so humiliated and ashamed I left in tears. Aside from having to constantly remind them to change his bandages, clothes, etc. is in and of itself horrible when it comes to the nursing care but the plain MANNERS of those that I have interacted with are just disgusting. I expected so much better for those that administer care to our veterans and their families, how sad.",negative
"The ER is among the worst ERs I have ever experienced. That's including ERs in 3rd world countries. Staff is condescending to everyone that asks a question and I think that's to cover up the fact that 99.9% of them are horribly incompetent. It's either that or they all forgot the oaths they swore when becoming healthcare ""professionals."" I've never met more disgraces to healthcare professionals anywhere in my life.",negative
"I'd give it a minus if I could. Portland Oregon VA hospital is the worst in the nation.. If your 15 min late for an appt they cancel it... but they can make you wait in the germ pond for well over 2 hours to be seen at your scheduled appt... then it always take at least 2 hours to get your travel pay... The logistical staff members are the rudest group of assholes I've ever encountered at a hospital.... 
Every experience at the portland oregon va medical center is a new experience in the SUCK!!!!! Always get the shitty treatment there..... 
My recommendation is to die on the streets or find a different hospital for your ailments. .....",negative
unfortunately this is the nastiest hospital we have had the misfortune to be in. the floors are filty in the bathroom with  dirt slung up the walls. this may explain why our family member contracted mrsa from this facility.  it took nine days to start appropriate diet and twice daily dressing changes to wound were only done three times in a week. because of their lack of good care a part of a foot had to be amputated. whenever you speak with staff you get a deer in the headlight look and nothing is followed through on. it would be much better to dissolve va and pay to put patients in public hospitals. they deserve better care even if our government doesn't think so. which is obvious by their treatment of vets.,negative
"Terrible service. Waited for over an hour and they weren't busy in the emergency room at 6 PM on Saturday. I see a single nurse, doctor or physicians assistant. Only time I saw somebody took my vitals initially. I have a fever, cough, and major signs of COVID-19. So you would think they would want to see me immediately. Do you not go here. Go to a regular hospital",negative
"Another horrendous day at the VA, this time at the pharmacy pick-up window. This system needs to change ASAP!!!!
You can't people shouting out the medications to the window representative, that is highly private information. Where is the confidentiality in having other patients knowing what your illness is because you have to yell through a thick plexiglass window at pharmacy rep. who never seems to know what is going on!!!",negative
This hospital has been my hospital since I got out of the Marine Corps. I've always been taken care but unfortunately the one star is because of the front desk lady that gave me an attitude when I tried to check in along with two other veterans who tried to get help. I understand these clerks deal with a lot of vets but there are better ways to treat people. I was sick as a dog trying to get assistance and she kept asking me the same questions about my symptoms as if I were lying with a nasty attitude. We served this country honorably and this not the way to treat our veterans. Every time I walk into this hospital it's depressing. I see veterans being abandoned waiting without a nurse or anyone on sight to check if they're alright. We definitely need to do better for our vets it's depressing to see how some of these guys are treated after giving everything they have to this country.,negative
