Reviews,Stars
"Covid-19. concerns kept me out of the VA hospital for a year.
VAbtakes care of my hearing (and hearing loss).
many times I have visited the hearing clinic. however, over the past year my hearing loss was worsening.
I set an appointment, and was seen by ""Maralee"".
OMG, she spent a great deal of time tweaking and tuning, checking and rechecking my hearing aids.
Net result?
huge increase in what I can hear and speech I can interpret.
I have had good serves in the hearing clinic before but, her knowledge, professional, and understanding, merit highlighting with a 5-star review.
Thank you Maralee.",positive
"As soon as I heard veterans were eligible to get the Covid vaccine, I called the minute they opened to schedule for my fiancé. Even so, I was the 44th caller in line.

It went pretty quick, and the person who answered the call was so friendly and so patient. He scheduled the second appointment as well. 

Thank you!",positive
"I am a proud Veteran and happy that's there's a good support & benefits system in place for our past and current Veterans who need help or might need help in the future.  The lines are short, the staff are very friendly & helpful, lots of parking, great access to transportation, plethora of information, clean & inviting facilities and a great place to Connect with other Veterans to share information about Veterans benefits.  The only negative is that the phone service doesn't work in the building and thsts there's no WiFi. Other than that this is truly a great facility.",positive
"I am normally seen at the Atlanta VA but was in Seattle for work and needed refills on my medications. While there was a little mix up with where I needed to go to get my meds, everyone I can in contact with was very pleasant and helpful.",positive
"I for one am impressed with the overall care that has been provided to me.  

As a combat veteran with multiple medical problems, I have been treated with respect, kindness and care in a timely fashion.

Yes, I will admit once in a while some staff members will have a bad day, but I try to remember there are more patients having bad days and focusing their anger on the staff.  As patients we need to show some respect to these care givers as they work very hard for us veterans.

Any way, this is a new/updated facility, lots of parking, tons of volunteers to answer questions, help you find where you need to be and they are extremely friendly.

You can access you records, request, see lab and x-ray results, request  appointments, order Rx refills and contact your PMD using the VA internet.

I have never waited long for an appointment to PMD or speciality clinic, it seems they want to see me more than I want to see them.",positive
"Best service that I could have wished for. Crawled into the ER this morning with extreme stomach pain. Found out I needed my appendix out. They were very organized and friendly. I'm already home and feel great!!! I'm at the VA often and have never once had an issue there. I love the care I get here!!!

",positive
"I have been in-patient and used the outpatient Seattle VA hospital services. I have, in general and overall, had great experiences in both settings.
As a female vet, I am leary of primarily male dominated enviromments, however, I feel the Puget Sound VA has gone above and beyond to ensure that it is a safe and dignified environment for all. 
It has been refreshing, especially in the in-patient setting, to enjoy the military comraderie without a lot of the negative aspects or treatment of being the non-majority gender. 
Thank you SEATTLE VA for being heads above other VA systems.",positive
"Love-love the VA!

I also love-love the friendly, helpful, and courteous staff throughout the hospital and especially at my Primary Care Clinic - and of course the Pain Clinic! 

Thank you for all of your continuing support and wonderful care!",positive
"I have spent time in three local hospitals over the last 10 years - each visit over 5 days and I would vote the the VA hospital is the best.      Not only are they extremely friendly and do everything they can - they are great at their jobs.       This hospital is also a teaching hospital for the University of Washington and so you can get the added help from teaching doctors and their students.     The only complaint for an extended stay would be the food is not as good as others.   

I also use this place for my regular checkups, eye examinations, hearing aids and hearing checks along with prosthetic's and other monitoring.    In the many many visits to this place - everyone greets you - helps you - shows concern and make the experience as pleasant as possible.  

The Emergency Room treatment is professional and also friendly and professional.",positive
I have received numerous treatments there and they were great.  Sometimes it's the patient's attitude that will influence providers to provide great care.  Cheers!,positive
"I'm a Viet Nam veteran - Danang to the DMZ, 1968-1969. Unlike  some, my health has been pretty good, and since 1) my wife and I have had conventional health insurance for decades and 2) years ago I had read that V.A. hospitals were in the tank, I gave the Seattle V.A. hospital no thought. I talked with a veteran/friend who had severe hearing loss, however, and I told him I was heading in that same direction, driving my wife nuts. He said to check out the V.A. for hearing aids. I did. And that worked out wonderfully. In the process, my wife scheduled an exam with a urologist due to my urinary problems although I had a urologist already. Long story short, the V.A. urologist quickly figured out what was wrong, scheduled me for surgery, and when I went in for surgery (partial prostatectomy) a small army awaited me in the surgery room. They were ready. Very impressive. I came out, recovered in a couple of weeks, and am in better shape now than I was 15 years ago. I should mention one more thing: the people who work at the Seattle V.A. (I've talked with them about this) want to be there, want to help veterans. Five stars.",positive
"My 1st visit to the Seattle VA or any VA.
I was impressed by the everyone that I came in contact with, admin staff, doctors, nurses, physical therapist!
The courtesy that I received was above and beyond. I highly recommend this VA to any vet that needs help.

Update 3rd visit: I don't know about other VA's, I'm here to tell you the VA gets a bad rap!!!! Everyone from the doctors, nurses, staff are kind courteous and timely. Equal to some of the best hospitals I've been too here in Seattle. Sure there are VA's that drop the ball. But isn't about personal responsibility to take control of ones health. I noticed on my third visit that there are advocates help patients through the process.

4th visit - Once again no disappointment!
New parking garage is great.",positive
"There is good and bad. But the good far out weighs the bad. My dads a disabled Vietnam vet who did 2 tours during the heat of the war with the Marines. The hospital is pretty run down but the staff is great! I don't know why so many complain. Let's be real! Everyone knows the VA provides free medical so of course your not going to get the same experience you would get at Swedish or your private dr. If this is not acceptable then you are in luck you can pay for insurance like most of us do that allows you to go where you want and isn't so bogged down. Perhaps the va should start charging like everyone else with reasonable monthly premiums, co pays and deductibles and use that money to hire more and fix it up!",positive
