,Reviews,Stars
0,walk halls hospital see empty tables full waiting rooms long lines pharmacy need appointment spend hours hold waiting speak someone line call number call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior call inform wait another days see doctor i've go va i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland va ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va employees va portland extensions seem full entitled government leeches dislike vet job perhaps i'm sure good people work i've met seem minority ,negative
1,many talented intelligent hard working people va probationary year employees can't fired shows great case disorganization slacking like big tanker run sloths things slow people put minimal effort times veterans even hard working employees frustrated va culture bad veterans deserve top care always get va va people go pasture va professional dreams go die ,negative
2,bad cannot give zero minus stars startled either incompetence lack caringempathyor met two medical professionals va seem heads straightthe others encountered make wonder marques de sade opened schools medicine uncaring people graduated nation called young men join draftedwe went ignored used one va facility fantastic place opinion becoming dangerous place ,negative
3,bedside manner number nurses employed va hospital less desirable establishment dad staying last days current room shares bathroom needed utilize facility order urinate walked nurse really irritated tone loudly enough elderlyhard hearing father clearly hear chastised policy regarding visitors using public restroomspatients rooms humiliated ashamed left tears aside constantly remind change bandages clothes etc horrible comes nursing care plain manners interacted disgusting expected much better administer care veterans families sad ,negative
4,er among worst ers ever experienced that's including ers rd world countries staff condescending everyone asks question think that's cover fact horribly incompetent either forgot oaths swore becoming healthcare professionals i've never met disgraces healthcare professionals anywhere life ,negative
5,i'd give minus could portland oregon va hospital worst nation min late appt cancel make wait germ pond well hours seen scheduled appt always take least hours get travel pay logistical staff members rudest group assholes i've ever encountered hospital every experience portland oregon va medical center new experience suck always get shitty treatment recommendation die streets find different hospital ailments ,negative
6,unfortunately nastiest hospital misfortune floors filty bathroom dirt slung walls may explain family member contracted mrsa facility took nine days start appropriate diet twice daily dressing changes wound done three times week lack good care part foot amputated whenever speak staff get deer headlight look nothing followed would much better dissolve va pay put patients public hospitals deserve better care even government think obvious treatment vets ,negative
7,terrible service waited hour busy emergency room pm saturday see single nurse doctor physicians assistant time saw somebody took vitals initially fever cough major signs covid would think would want see immediately go go regular hospital ,negative
8,another horrendous day va time pharmacy pickup window system needs change asap can't people shouting medications window representative highly private information confidentiality patients knowing illness yell thick plexiglass window pharmacy rep never seems know going ,negative
9,hospital hospital since got marine corps i've always taken care unfortunately one star front desk lady gave attitude tried check along two veterans tried get help understand clerks deal lot vets better ways treat people sick dog trying get assistance kept asking questions symptoms lying nasty attitude served country honorably way treat veterans every time walk hospital depressing see veterans abandoned waiting without nurse anyone sight check they're alright definitely need better vets depressing see guys treated giving everything country ,negative
10,god place simply awful wish treatment worst enemy really wish politations americans would care veterans disgusting bathrooms fecal matter toilet walls filthy absolute dump veterans admin cleans place ugghhh pray place gets full overhaul meantime guess i'm stuck going awful place ,negative
11,absolute worst hospital ever save time moneygo somewhere else dr's arrogant rude treat patients especially veterans helpful unless dying mentioned unfair unprofessional shameful deal sick individuals like especially ones serve country ,negative
12,going years service slow everyone rude matter hard try nice wait terrible even appointment make sure whole day free that's medical side trying learn claims anything dental eye glasses anything else would also recommend going different location uneducated field give help need act owe everything serve needs ,negative
13,doctors great much negative attitude civilian staff speak irritating asking simple questions anyone attends facility need start getting names head supervisors help fix issue bathrooms always foul odor well kept ,negative
14,currently admitted hospital due knee surgery place truly terrifies i'm talking little stuff bad food i'm talking docs call returning phone calls docs making wait six hours paid medication doctors insisting walk weight bearing walker day surgery docs knew pt guys see sunday cried hours pain last surgery remove cm tumor lodged think femur bone removed cadaver bone used replace steel plate screws added major knee surgery nearly four hours i've used va hospitals since 's inefficient believe trying harm truly believe miami va hospital rapid tizzy open beds would surprised policy killed patients veterans actually would surprised bright side fisher house godsend seen personally dormant dad allowed stay since admitted honestly loves receiving wonderful care ,negative
15,extremely rude disrespectful receptionists clearly uneducated give damn rest veterans matter always miscommunication issues calling general information setting appointments doctors nurses etc great issues thus far everyone else watch needs much improvement overall ,negative
16,go hospital type service shame veterans type medical treatment receive place idea medical treatment lack total compassion patient treat guinea pig blame patient something goes wrong doctors residents interns pass buck treatment spend majority time explaining downs rest time trying figure inform term left hand know right hand disgusting best ,negative
17,used go hospital much hassle wait times crazy hospital zoo always busy staff acts like folks dmv care never go back i'm done ,negative
18,visit certain doctor opening conversation condescending name name refer sarge old man damn name luckily medicine day ,negative
19,clinics good others worst specially urinary renal clinics resident doctors treat like crap make lies try force procedures practice dont need workers even tell read medical reports surely mess er room good caring department entire medical center always found wrong hours go clinics expect almost die treat youi admitted times never change sheets blankets even offer care dont clothing almost naked provide hardly anything cover good never come around bring water time meds see nurse nurses cannot think get permission anything sure sorry never bought medicare could dead duck thanks va ,negative
20,great first impression maybe mom joined however years later need update review impossible get appointment take months finally get wait forever finally seen nurse practitioner medschool student actual doctors i've never able actually sit discuss injury orthopedic surgeon insane especially considering traumatic injuries years ago everytime go va take labs results waiting labs area creepy oh waiting asked money alot panhandling huge problem va i've grab security guard feel safe va advice take vacation day hours one star complementary valet parking veterans valet crew always nice address mam well mannered however asked parking validation told validated vets young looking female vet years news flash educate staff female future veteran like real demand quality care extremely embarrassing staff demanded prof veteran status come better writing state senator next trust believe ,negative
