small,Value
absolute,complete
absolutley,completely
advice,guidance wisdom
amazed,impressed astounded astonished
amazing,awesome spectacular great
appointment,treatment medication surgery service
appointments,treatment medication surgery service
aren't,not isn't ain't
attitude,rude disrespectful mean unconcerned
awesome,outstanding great superior good
awful,bad sad
bad,negative awful horrible horrid
beautiful,appealing pretty dazzling extravagant
best,finest greatest top leading premier superior
better,good fine superior improved
better,improved
blurt,talk chat
broken,inoperable broke bad
building,hospital clinic
care,treatment medication appointment
caregivers,doctors nurses
chaotic,bad crazy negative
chat,talking talk
chatting,talk talking
clean,sanitary hygenic sterile immaculate
clinic,hospital facility
clinician,doctor nurse surgeon
clinicians,doctors nurses
clinics,hospital facilities
communication,talking
compassion,grace kindness empathy humanity
compassionate,caring attentive empathatic
competence,capability ability capacity proficiency
complications,problems obstacles hurdles
concerns,apprehension disquiet worry anxiety
concerns,worries
condescending,disrespectul scornful disdainful
cordial,friendly helpful kind
cost,price fare toll
courteous,nice polite civil respectful pleasent
courtesy,politeness respect kindness tact
criticism,censure disapproval denunciation
customer,patient veteran vet
customers,patient veterans vets
dangerous,harmful bad unsafe negative
degrading,disrespectful scornful bad
department,hospital clinic
didn't,wouldn't not won't
die,expire hurt end harm
dirt,filth filthy dirty
disabled,injured hurt 
disgrace,embarrassing bad unfortunate
disgraceful,bad negative shameful unaccepatable deplorable
disgusting,dirty bad filthy negative
disheveled,disorganized messy negative bad
disregard,neglect
disrespectful,mean nasty harsh unpleasant disrespectful
distress,stress danger uncomfortable
doctor,physician nurse clinician surgeon
doctors,physicians nurses surgeons
don't,not wouldn't doesn't can't won't
efficient,organized methodical structured logical systematic
efforts,work attempts achivements
eligible,entitled permitted allowed
employee,doctor nurse technician surgeon
employees,doctors nurses technicians surgeons
er,hospital clinic
excellent,superb outstanding magnificent
facility,hospital clinic
facilties,hospital space
fantastic,positive amazing awesome
fast,quick speedy
friendliness,friendly helpful kind
friendly,helpful good beneficial favorable cordial warm congenial affectionate
frustrated,angry mad
frustrating,angry annoying irritating
garage,parking
good,fine acceptable quality
gossip,talking talk 
gossiping,talking discussing
great,excellent glorious awesome best
had,has have
happy,joyful joyous cheerful
hard,difficult
harm,hurt injure
has,is was had
hassle,struggle
health,well-being fitness energy strength
healthcare,treatment medicine
helpful,obliging friendly pleasant kind accomodating
honored,dignified distinguished esteemed pleased happy
horrendous,bad unsatisfactory
horrible,bad disgraceful
hospital,clinic er VAMC
hospitalized,bedridden debilitated diseased
hospitals,clinics
hurt,pain harm
ignored,inattentive
illness,disease sickness
impressed,happy satisfied
impressed,amazed
impressive,impressed extraordinary extravagant
inattentiveness,disregard neglect
incompetence,stupid ignorant
incompetent,stupid dumb bad 
increase,grow rise expansion
inefficient,bad wasteful
inept,incompetent
ineptness,incompetence
infection,sickness injury
infections,sickness injuries
inquiring,asking probing questioning
irritated,annoyed
issue,problem symptom
issues,symptoms sickness problems
joke,bad unpleasant
kind ,nice caring good generous
kindness,affection courtesy decency altruism
knowledgeable,smart informed wise experienced
lab,hospital clinic
labs,hopspital clinic
lack,without minimal minimum
lacks,without minimal minimum
late,untimely tardy slow
lazy,bad idle inactive loafing
least,
long,extended
loud,noisy blaring booming
meds,medicine medication treatment
miscommunication,disagreement mistake
misfortune,unlucky
modern,contemporary present current
nastiest,dirty filthy
negative,bad pessimistic bleak 
neglect,disregard
never,not don't won't
nonchalant,uncaring
not,wouldn't won't
nurse,physician doctor clinician surgeon
nurses,doctors surgeons technicians
office,clinic hospital VAMC
organized,arranged ordered sorted
outdated,old ancient bad
outstanding,good excellent fine wonderful superb exceptional
pain,suffering agony affliction torture torment discomfort struggle
painful,pain discomfort
parking,garage
pathetic,sad 
patience,tolerance forbearing calm uncomplaining
patient,tolerant forbearing calm uncomplaining
patient,sick sufferer
pcp,doctor caregiver nurse
personnel,doctors staff nurses clinicians
pharmacy,hospital clinic
physician,doctor
physicians,doctors
pleasant,nice enjoyable welcoming cheerful charming
poor,bad negative lacking
poorly,incompently badly
procedure,treatment medication
professional,skilled good experienced
professionals,skilled
question,inquiry
questions,inquiries
quick,fast swift rapid speedy expeditious
refreshing,invigorating reviving restoring revitalizing stimulating
respect,esteem admire favor
ridiculous,sad unbelievable
rude,mean nasty harsh unpleasant rude disrespectful
safe,sheltered guarded secure defended
satisfied,happy
saved,rescued cured defended
service,benefit assistance help treatment medication surgery appointments appointment
services,treatment
severe,intense strong
sick,ill 
simple,easy
slow,lethargic unhurried
smell,stinky nasty bad negative stink
smells,stinky nasty bad negative stink
staff,employees workers team doctors nurses surgeons
stink,smelly bad disgusting
stinky,smelly bad disgusting
stupid,uneducated incompetent
subpar,bad unsatisfactory
suck,annoying bad inferior disappointing
sucks,unpleasant annoying irritating
suicidal,death suicide harm negative bad
suicide,death negative bad harm dying
surgeon,doctor nurse technician
surgery,treatment appointment medication
talk,chat chatting
talking,chatting talk
team,staff 
team,doctors nurses
tech,technician doctor nurse
terrible,bad unsatisfactory unhappy horrendous
thank,acknowledge praise bless
thorough,complete detailed rigerous meticulous
timely,quickly expeditiously
transportation,vans 
trash,subpar negative
treated,received honored banqueted
treatment,hospitilization medication procedure cure
treatments,medication care hospitilization
trust,believe confidence
unapologetic,disrespectful uncaring
unclean,dirty filthy disgusting unsanitary
unfortunately,sadly unluckily 
unpleasant,negative uncomfortable annoying irritating displeasing
unprofessional,bad incompetent improper
unsanitary,dirty filthy disgusting
va,hospital clinic
vamc,hospital clinic
vet,veteran soldier old-timer sailor marine
veteran,old-timer soldier sailor marine
veterans,old-timers soldiers sailors marines
vets,veterans soldiers old-timers sailors marines
visitor,patient patients
visitors,patient patients
wait,delay hang linger
waited,awaited stayed wait
waiting,wait delaying lingering
well,good healthy fine
wonderful,enjoyable admirable amazing
worker,doctor nurse technician
workers,doctors nurses clinicians surgeons
worse,bad negative worst horrible terrible
worst,bad negative horrible terrible worse
wouldn't,not don't won't can't doesn't
wrong,bad incorrect
insignificant,unimportant
outrageous,unacceptable horrible
disorganized,disorderly
dog, hound pup
rich, wealthy
love, ain't
