,Reviews,Stars
0,walk halls hospital yo see empty tables full waiting rooms long lines th pharmacy need appointment spend hours hold waiting speak somone line call number call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior hospital call inform linger another days see doctor i've go va i've seen specialist employee wreak hospital one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland va ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va surgery employees va portland extensions seem full entitled government leeches dislike vet job perhaps i'm sure good people work i've met seem minority ,negative
1,walk halls hospital see empty tables full waiting rooms long lines th pharmacy need appointment spend hours hold waiting speak someone line call number tey call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get surgeon specialist scheduled months get appointment may get canceled surgeon day prior call inform wait another days see doctor i've go va i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland va ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va employees va portland extensions seem full government leeches dislike vet job perhaps i'm sure good people work i've met seem minority ,negative
2,walk halls hospital see empty tables full waiting rooms long lines pharmacy physician need service spend hours hold waiting speak someone line call number call screener talk may may get treatment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get medication may get canceled day prior call inform wait another days see physician whn i've go va i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland va ohsu bring college students practice veteran ask actual surgeon may know stab bursa sack remov wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va employees va portland nd extensions seem full entitled government leeches dislike vet job perhaps i'm sure good people work i've met seem minority clinic ,negative
3,walk halls hospital see empty soldier tabes full waiting rooms long lines pharmacy need surgery spend hours hold waiting speak someone line call number call screener talk may may get surgery rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get treatment may get canceled day prior call inform wait another days see doctor i've go va i've never seen specialist employee wreak one smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland va ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va employees va portland extensions seem full entitled government leeches dislike vet job perhaps 'm sure good people work i've met seem minority ,negative
4,walk halls hospital see empty tables full waiting rooms long lines pharmacy need appointment wll spend hours hold waiting speak someone line call number call screener chat may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior call inform wait another days see doctor i've go va i've never seen specialist employee hospital wreak one many smoke breaks medical professionalsdoctors supposed support baby clinic men women born brunt war sure relationship portland va ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va employees va portland extensions seem full entitled government leeches dislike vet job perhaps i'm sure good people work i've met eem minority ,negative
5,walk halls hospital see empty tables full waiting rooms long lines pharmacy need appointment spend hours hold waiting someone call number hey call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months appointment get canceled day prior call inform wait another days see doctor i've go hospital i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland clinic ohsu bring college students practice veteran ask actual doctor may know stab sack remove wrong tooth block treating veterans disrespectful mean people take complaints jus unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks hospital employees hospital portland extensions seem full entitled government leeches dislike vet job perhaps i'm sure good people work i've met seem minority ,negative
6,walk halls hospital see empty tables full wait surgery rooms long lines pharmacy need appointment spend hours hold lingering speak someone line call number call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior call inform wait another days see doctor i've go facility i've never seen specialist delay employee wreak many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland hospital ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take oldtimers complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks facility employees hospital portland extensions seem full entitled government leeches dislike vet job perhaps i'm sure good people work i've met seem minority ,negative
7,walk halls hospital see empty tables full waiting rooms long lines pharmacy need appointment spend hours hold waiting speak someone line call number call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior call inform wait another days see doctor i've go hospital i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland clinic ohsu bring college students practice veteran ask actual doctor may know appointment stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks hospital employees nurse clinic portland extensions seem full entitled government leeches dislike vet perhaps i'm sure good people work i've met seem minority ,negative
8,walk halls hospital see empty tables full waiting rooms long lines pharmacy appointment spend hours hold waiting speak someone line call number call screener talk may may get appointment rest assured days nurse calls tell much regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior call inform treatment wait another days see doctor i've go va i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland va ohsu bring college students practice veteran actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks va employees va porland extensions seem full entitled government nurse leeches dislike vet job perhaps i'm sure good people work i've met seem minority ,negative
9,walk halls hospital see empty tables fll waiting rooms long lines pharmacy need appointment spend hours hold waiting speak someone line call number call screener talk may may get appointment rest assured days nurse calls tell uch regret frustrating experience call back get specialist scheduled months get appointment may get canceled day prior call inform oldtimer hang another days see doctor i've go hospital i've never seen specialist employee wreak one many smoke breaks medical professionalsdoctors supposed support baby men women born brunt war sure relationship portland clinic ohsu bring college students practice veteran ask actual doctor may know stab bursa sack remove wrong tooth block treating veterans disrespectful mean people take complaints unhelpful additionally seems medication heavy bias toward belief system that's irrelevant obviously important open public spacesbehind desks clinic employees hospital portland treatment extensions seem full entitled government leeches dislike vet job perhaps i'm good people work i've met seem minority ,negative
